home_team,away_team,type
Southside Flyers,Townsville Fire,Semi final 1
UC Capitals,Melbourne Boomers,Semi final 2
Townsville Fire,UC Capitals,Preliminary final
Townsville Fire,Melbourne Boomers,Preliminary final
Southside Flyers,Townsville Fire,Grand final
Southside Flyers,UC Capitals,Grand final
Southside Flyers,Townsville Fire,Grand final
Southside Flyers,Melbourne Boomers,Grand final
Southside Flyers,UC Capitals,Preliminary final
Southside Flyers,Melbourne Boomers,Preliminary final
Townsville Fire,Southside Flyers,Grand final
Townsville Fire,UC Capitals,Grand final
Townsville Fire,Southside Flyers,Grand final
Southside Flyers,Melbourne Boomers,Grandfinal
