Name,Team,DOB,Height,Position,Comp
Rebecca Allen,NY Liberty,6/11/1992,1.85,F,WNBA
Sara Blicavs,Southside Flyers,15/02/1993,1.88,F,WNBL
Elizabeth Cambage,Southside Flyers,18/08/1991,2.03,C,WNBL
Rebecca Cole,Southside Flyers,19/03/1992,1.78,G,WNBL
Katie Ebzery,Perth Lynx,8/01/1990,1.78,G,WNBL
Darcee Garbin,Townsville Fire,24/06/1994,1.88,F,WNBL
Cayla George,Melbourne Boomers,1/05/1989,1.93,C,WNBL
Kelsey Griffin,UC Capitals,2/07/1987,1.88,F,WNBL
Tessa Lavey,Bendigo Spirit,23/03/1993,1.72,G,WNBL
Tess Madgen,Townsville Fire,12/08/1990,1.8,G,WNBL
Eziyoda Magbegor,Melbourne Boomers,13/08/1999,1.94,C,WNBL
Leilani Mitchell,Southside Flyers,15/06/1985,1.65,G,WNBL
Lauren Nicholsen,Adelaide Lightening,26/03/1993,1.83,G,WNBL
Alanna Smith,Phoenix Mercury,10/09/1996,1.9,F,WNBA
Stephanie Talbot,Minnesota Lynx,15/06/1994,1.85,F,WNBA
Marianna Tolo,UC Capitals,2/07/1989,1.96,C,WNBL
Sami Whitcomb,Seattle Storm,20/07/1988,1.78,G,WNBA
Zitana Aokuso,Townsville Fire,23/11/1998,1.93,C,WNBL
Shyla Heal,Townsville Fire,19/09/2001,1.68,G,WNBL
Tiana Mangakahia,Syracuse,21/04/1995,1.68,G,NCAA
Jenna O'Hea,Southside Flyers,6/06/1987,1.85,F,WNBL
Maddison Rocci,UC Capitals,1/06/1998,1.68,G,WNBL
Jaz Shelley,Oregon,13/05/2000,1.75,G,NCAA
