Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Alex Wilson,28,321,292,120,41.1,152,53,34.9,35,28,80.0,88,24,112,64,11,23,34,13822
Lauren Nicholson,19,97,67,32,47.8,26,11,42.3,26,22,84.6,27,21,48,12,3,3,11,13822
Belinda Snell,22,277,221,96,43.4,133,55,41.4,36,30,83.3,88,19,107,96,15,28,50,13822
Sarah Graham,25,92,61,30,49.2,46,25,54.3,10,7,70.0,13,6,19,15,0,7,24,13822
Leilani Mitchell,28,449,381,158,41.5,158,58,36.7,83,75,90.4,92,15,107,169,2,49,78,13822
Hayley Moffatt,1,4,5,2,40.0,0,0,0.0,0,0,0.0,1,2,3,3,1,1,1,13822
Shanae Greaves,28,57,59,25,42.4,0,0,0.0,14,7,50.0,28,25,53,19,7,4,23,13822
Lara McSpadden,5,6,3,2,66.7,0,0,0.0,2,2,100.0,0,1,1,0,1,0,1,13822
Jennifer Hamson,26,287,236,117,49.6,0,0,0.0,76,53,69.7,139,77,216,13,63,15,46,13822
Carly Boag,25,149,119,61,51.3,20,10,50.0,19,17,89.5,59,31,90,15,6,21,32,13822
Cassidy McLean,9,17,22,7,31.8,11,3,27.3,0,0,0.0,6,2,8,5,0,1,6,13822
Asia Taylor,25,406,317,147,46.4,15,5,33.3,139,107,77.0,125,66,191,67,8,30,88,13822
Susannah Walmsley,6,2,6,0,0.0,4,0,0.0,2,2,100.0,2,0,2,3,0,1,1,13822
Lauren Sparks,1,0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13822
Tahlia Tupaea,15,124,94,44,46.8,33,13,39.4,25,23,92.0,37,20,57,22,3,15,17,13822
Christina Boag,1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,13822
Sara Blicavs,29,448,423,168,39.7,87,34,39.1,104,78,75.0,146,57,203,68,6,43,68,13821
Jacinta Kennedy,29,164,150,64,42.7,5,1,20.0,42,35,83.3,70,43,113,38,12,11,25,13821
Amelia Todhunter,28,137,150,52,34.7,35,12,34.3,31,21,67.7,65,44,109,55,2,46,35,13821
Rosie FADLJEVIC,29,58,65,27,41.5,5,0,0.0,8,4,50.0,21,7,28,17,5,7,15,13821
Lauren Scherf,28,156,158,67,42.4,11,4,36.4,23,18,78.3,87,29,116,26,15,10,32,13821
Natalie Novosel,21,239,173,77,44.5,34,15,44.1,91,70,76.9,61,20,81,57,5,36,39,13821
Chloe Bibby,9,4,9,2,22.2,2,0,0.0,0,0,0.0,3,1,4,0,0,0,4,13821
Rachel Antoniadou,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,13821
Briahna Whatman,3,4,4,2,50.0,1,0,0.0,0,0,0.0,0,2,2,0,0,0,0,13821
Ally Malott,28,278,235,113,48.1,84,30,35.7,30,22,73.3,81,28,109,38,9,14,25,13821
Saraid Taylor,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,13821
Aimie Clydesdale,29,229,223,88,39.5,84,27,32.1,34,26,76.5,52,26,78,80,11,27,59,13821
Carley Ernst,27,360,357,135,37.8,179,64,35.8,30,26,86.7,172,26,198,33,39,20,51,13819
Ashleigh Isenbarger,18,22,25,9,36.0,6,1,16.7,4,3,75.0,12,7,19,3,3,2,5,13819
Natalie Burton,27,105,93,43,46.2,0,0,0.0,34,19,55.9,43,50,93,19,12,12,24,13819
Tenaya Phillips,16,100,104,38,36.5,34,15,44.1,13,9,69.2,21,25,46,26,0,15,15,13819
Monica Wright,4,31,38,13,34.2,7,2,28.6,7,3,42.9,5,3,8,15,0,1,12,13819
Tessa Lavey,23,158,173,55,31.8,102,27,26.5,27,21,77.8,67,22,89,98,0,36,38,13819
Sami Whitcomb,27,652,476,221,46.4,254,105,41.3,135,105,77.8,104,37,141,106,8,70,78,13819
Ruth Hamblin,27,298,232,125,53.9,0,0,0.0,78,48,61.5,111,96,207,18,59,19,61,13819
Kisha Lee,23,73,77,30,39.0,32,6,18.8,12,7,58.3,23,8,31,10,5,4,10,13819
Tahlia Fejo,4,4,9,1,11.1,4,0,0.0,2,2,100.0,1,1,2,1,0,6,3,13819
Courtney Mansfield,4,2,6,1,16.7,5,0,0.0,0,0,0.0,1,1,2,1,0,0,1,13819
Brianna Butler,18,124,120,43,35.8,70,26,37.1,16,12,75.0,30,10,40,21,1,18,17,13819
Antonia Farnworth,27,237,229,87,38.0,90,31,34.4,42,32,76.2,53,45,98,65,4,22,43,13819
Darcee Garbin,24,198,152,71,46.7,29,8,27.6,58,48,82.8,69,43,112,19,10,12,33,13818
Suzy Batkovic,26,544,453,206,45.5,43,10,23.3,155,122,78.7,209,73,282,70,30,24,83,13818
Mia Murray,26,366,319,125,39.2,152,54,35.5,77,62,80.5,85,41,126,69,13,20,43,13818
Kayla Steindl,26,307,253,115,45.5,45,19,42.2,72,58,80.6,81,52,133,33,12,22,46,13818
Micaela Cocks,26,228,219,81,37.0,130,46,35.4,27,20,74.1,44,26,70,34,0,13,41,13818
Jacqui Zelenka,12,18,19,6,31.6,3,0,0.0,7,6,85.7,9,5,14,0,1,1,1,13818
Ainsley Walsh,5,2,7,1,14.3,3,0,0.0,2,0,0.0,1,1,2,0,0,0,0,13818
Chevannah Paalvast,17,35,35,12,34.3,10,3,30.0,11,8,72.7,13,9,22,14,1,4,10,13818
Haylee Andrews,7,2,3,0,0.0,1,0,0.0,6,2,33.3,3,0,3,1,0,0,3,13818
Amy Kame,25,114,108,39,36.1,32,7,21.9,38,29,76.3,47,20,67,29,2,20,29,13818
Natasha Cloud,24,132,126,47,37.3,50,12,24.0,38,26,68.4,66,10,76,94,4,30,57,13818
Kelly Wilson,16,75,67,27,40.3,11,4,36.4,23,17,73.9,41,9,50,70,4,7,23,13818
Abigail Wehrung,16,131,113,46,40.7,67,27,40.3,17,12,70.6,37,5,42,19,5,6,20,7846
Lauren Mansfield,24,352,349,127,36.4,97,33,34.0,72,65,90.3,93,23,116,121,1,36,70,7846
Keely Froling,24,81,84,29,34.5,15,1,6.7,30,22,73.3,40,21,61,10,5,7,21,7846
Carly Wilson,24,93,100,33,33.0,79,27,34.2,2,0,0.0,20,6,26,22,5,7,8,7846
Kate Gaze,17,135,130,45,34.6,72,25,34.7,24,20,83.3,18,1,19,19,2,4,20,7846
Marianna Tolo,24,435,302,170,56.3,4,1,25.0,111,94,84.7,131,73,204,58,58,23,51,7846
Alice Coddington,12,10,14,5,35.7,0,0,0.0,0,0,0.0,1,5,6,3,0,2,3,7846
Stephanie Bairstow,14,7,19,2,10.5,1,1,100.0,2,2,100.0,8,4,12,3,2,2,6,7846
Mikaela Ruef,24,297,286,114,39.9,24,3,12.5,86,66,76.7,172,93,265,47,12,28,47,7846
Jazmon Gwathmey,23,189,198,74,37.4,30,10,33.3,37,31,83.8,58,45,103,35,12,14,34,7846
Keely Froling,24,81,84,29,34.5,15,1,6.7,30,22,73.3,40,21,61,10,5,7,21,7846
Janelle Adams,9,4,10,2,20.0,1,0,0.0,0,0,0.0,2,0,2,1,0,2,6,7846
Callie Bourne,5,0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,1,1,0,0,3,7846
Isabelle Bourne,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7846
Maddison Allen,9,3,2,1,50.0,0,0,0.0,2,1,50.0,1,1,2,3,0,1,1,7846
Gabrielle Richards,24,182,167,75,44.9,1,0,0.0,49,32,65.3,80,39,119,47,9,11,38,13825
Ashleigh KARAITIANA,22,153,173,60,34.7,57,12,21.1,31,21,67.7,49,19,68,43,8,19,40,13825
Jane Chalmers,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,13825
Andrea Wilson,5,0,1,0,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,13825
Kerryn Harrington,18,142,143,47,32.9,80,27,33.8,25,21,84.0,33,9,42,47,2,9,28,13825
Nadeen Payne,24,166,165,47,28.5,50,14,28.0,73,58,79.5,62,36,98,24,5,11,36,13825
Heather OLIVER,24,122,123,49,39.8,11,3,27.3,32,21,65.6,42,42,84,39,8,15,36,13825
Kelsey Griffin,24,363,294,122,41.5,110,37,33.6,108,82,75.9,138,47,185,68,27,35,58,13825
