Player,G,PTS,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,DEF,OFF,REB,AST,BLK,STL,TO,TeamID
Kelsey Griffin,19,313,264,119,45.1,30,7,23.3,102,68,66.7,102,61,163,16,18,33,40,7824
Madeleine Garrick,26,85,84,35,41.7,10,6,60.0,14,9,64.3,35,9,44,6,1,4,19,7824
KRISTI HARROWER,26,401,325,141,43.4,113,36,31.9,104,83,79.8,109,34,143,169,7,20,59,7824
Gabrielle Richards,25,396,307,158,51.5,9,2,22.2,97,78,80.4,115,103,218,37,17,12,39,7824
Renae Camino,20,131,165,52,31.5,59,10,16.9,29,17,58.6,27,14,41,25,5,7,17,7824
Rachel Herrick,24,18,30,8,26.7,0,0,0.0,2,2,100.0,15,13,28,3,3,0,12,7824
HAYLEY MUNRO,25,55,51,16,31.4,21,5,23.8,23,18,78.3,35,16,51,18,4,3,14,7824
Jane Chalmers,20,14,22,5,22.7,7,2,28.6,4,2,50.0,8,2,10,3,0,4,13,7824
Andrea Wilson,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7824
Chantella Perera,23,84,94,23,24.5,28,5,17.9,42,33,78.6,30,13,43,13,1,9,22,7824
Rebecca Campigli,4,2,1,0,0.0,0,0,0.0,4,2,50.0,0,0,0,1,0,0,1,7824
Chelsea Aubry,26,183,164,71,43.3,53,22,41.5,24,19,79.2,60,49,109,29,9,6,36,7824
Ebony Antonio,2,3,3,1,33.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,7824
Kelly Wilson,26,263,231,95,41.1,138,49,35.5,33,24,72.7,79,13,92,70,4,23,40,7824
Carley Ernst,23,141,149,60,40.3,35,11,31.4,14,10,71.4,52,29,81,4,16,9,24,7813
Sara Blicavs,26,194,185,86,46.5,11,4,36.4,38,18,47.4,67,40,107,14,10,22,24,7813
Tegan Cunningham,26,241,216,113,52.3,3,2,66.7,18,13,72.2,82,43,125,19,3,15,23,7813
Alison Downie,26,93,87,37,42.5,3,1,33.3,22,18,81.8,59,36,95,33,14,39,15,7813
Kathleen Macleod,26,422,367,158,43.1,84,22,26.2,97,84,86.6,59,27,86,160,1,17,63,7813
Rebecca Mercer,11,16,7,5,71.4,4,4,100.0,3,2,66.7,0,0,0,2,1,1,3,7813
Tenaya Phillips,1,0,2,0,0.0,2,0,0.0,0,0,0.0,0,1,1,0,0,0,0,7813
Monica Wright,18,251,206,92,44.7,19,7,36.8,77,60,77.9,75,37,112,43,8,32,48,7813
Rosie FADLJEVIC,9,0,3,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,4,7813
Krista Phillips,20,167,131,66,50.4,2,1,50.0,51,34,66.7,84,64,148,20,22,9,45,7813
Shannon Perrett,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,7813
Aimie Clydesdale,21,47,36,18,50.0,5,3,60.0,16,8,50.0,11,3,14,7,0,4,13,7813
Jenna O&#039;Hea,24,348,309,125,40.5,64,15,23.4,96,83,86.5,120,34,154,143,22,28,69,7813
Lauren Mansfield,24,101,107,37,34.6,53,15,28.3,12,12,100.0,35,16,51,34,0,16,33,7810
Jo Hill,23,186,146,69,47.3,7,2,28.6,54,46,85.2,55,40,95,42,6,30,41,7810
Suzy Batkovic,20,420,358,162,45.3,24,6,25.0,127,90,70.9,142,50,192,44,51,29,53,7810
Jennifer Screen,23,208,182,83,45.6,49,22,44.9,22,20,90.9,94,45,139,98,3,19,49,7810
Laura Hodges,20,263,202,113,55.9,4,0,0.0,60,37,61.7,60,49,109,27,14,12,30,7810
Angela Marino,23,251,185,70,37.8,103,35,34.0,98,76,77.6,40,6,46,98,0,16,48,7810
Molly Rice,11,8,22,4,18.2,11,0,0.0,0,0,0.0,4,1,5,2,0,2,4,7810
Hannah Bowley,23,49,56,21,37.5,8,1,12.5,8,6,75.0,28,17,45,12,5,5,27,7810
Kelsey Ireland,18,24,43,9,20.9,10,0,0.0,9,6,66.7,18,7,25,18,3,4,14,7810
Amy Lewis,15,122,125,50,40.0,32,7,21.9,16,15,93.8,48,13,61,31,2,11,21,7810
Nadeen Payne,23,188,125,69,55.2,9,2,22.2,65,48,73.8,49,31,80,22,2,8,42,7810
Stephanie Talbot,25,148,142,65,45.8,10,3,30.0,30,15,50.0,74,40,114,66,12,19,61,7810
Jessica Good,3,0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,1,0,0,0,2,7810
Alicia Froling,1,2,1,0,0.0,0,0,0.0,2,2,100.0,2,0,2,0,0,0,0,7817
Jessica Foley,27,287,275,103,37.5,82,20,24.4,78,61,78.2,70,56,126,79,13,28,58,7817
Rachael McCully,27,151,156,50,32.1,42,9,21.4,54,42,77.8,68,11,79,93,2,17,41,7817
Cherie Gallagher,19,84,78,32,41.0,11,6,54.5,21,14,66.7,27,18,45,13,6,11,11,7817
Mia Murray,23,228,207,87,42.0,74,26,35.1,29,28,96.6,46,17,63,42,16,12,29,7817
Kayla Steindl,27,310,285,127,44.6,38,12,31.6,58,44,75.9,113,47,160,25,27,21,56,7817
Nicole Romeo,25,96,86,29,33.7,45,11,24.4,30,27,90.0,23,5,28,18,2,12,33,7817
