Season,Year,URL,CompID
WNBL 2020,2020,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F28356%2Fstatistics%2Fteam,28356
WNBL 1996,1996,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F966%2Fstatistics%2Fteam,966
WNBL 1997,1997,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F967%2Fstatistics%2Fteam,967
WNBL 1998,1998,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F968%2Fstatistics%2Fteam,968
WNBL 1998-99,1998,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F969%2Fstatistics%2Fteam,969
WNBL 1999-00,1999,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F970%2Fstatistics%2Fteam,970
WNBL 2000-01,2000,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F944%2Fstatistics%2Fteam,944
WNBL 2001-02,2001,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F945%2Fstatistics%2Fteam,945
WNBL 2002-03,2002,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F946%2Fstatistics%2Fteam,946
WNBL 2003-04,2003,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F947%2Fstatistics%2Fteam,947
WNBL 2004-05,2004,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F948%2Fstatistics%2Fteam,948
WNBL 2005-06,2005,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F949%2Fstatistics%2Fteam,949
WNBL 2006-07,2006,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F950%2Fstatistics%2Fteam,950
WNBL 2007-08,2007,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F971%2Fstatistics%2Fteam,971
WNBL 2008-09,2008,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F972%2Fstatistics%2Fteam,972
WNBL 2009-10,2009,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F973%2Fstatistics%2Fteam,973
WNBL 2010-11,2010,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F974%2Fstatistics%2Fteam,974
WNBL 2011-12,2011,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F975%2Fstatistics%2Fteam,975
WNBL 2012-13,2012,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F976%2Fstatistics%2Fteam,976
WNBL 2013-14,2013,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F977%2Fstatistics%2Fteam,977
WNBL 2014-15,2014,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F978%2Fstatistics%2Fteam,978
WNBL 2015-16,2015,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F1820%2Fstatistics%2Fteam,1820
WNBL 2016-17,2016,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F8948%2Fstatistics%2Fteam,8948
WNBL 2017-18,2017,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F18335%2Fstatistics%2Fteam,18335
WNBL 2018-19,2018,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F21944%2Fstatistics%2Fteam,21944
WNBL 2019-20,2019,https://wnbl.basketball/stats/?&WHurl=%2Fcompetition%2F25538%2Fstatistics%2Fteam,25538
